,PIT,,2003,2004,2007,2008,2009 Winter,2009 Summer,2010 Winter,2010 Summer,2011 Winter,2011 Summer,2012 Winter,2012 Summer,2013 Winter,2013 Summer,2014 Winter,2014 Summer,,Teeth 1 ,Teeth 2,Teeth 3,,Male,Female,,Summer,Winter,,Weight,
/*,10633380,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,390,;
/*,10634636,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,720,;
/*,10634636,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,NA,;
/*,10634636,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,640,;
/*,10634790,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,,0,1,,1,0,,450,;
/*,10637348,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,640,;
/*,10637348,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,NA,;
/*,10637348,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,540,;
/*,10637348,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,540,;
/*,10637537,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,420,;
/*,10768550,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,500,;
/*,10768809,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,,0,1,,1,0,,460,;
/*,10769833,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,NA,;
/*,10769833,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,690,;
/*,10769833,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,560,;
/*,10769833,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,690,;
/*,10769833,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,650,;
/*,10774361,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,,1,0,,1,0,,620,;
/*,10774361,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,,1,0,,1,0,,520,;
/*,10774870,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,0,1,,560,;
/*,10774870,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,0,1,,540,;
/*,10776013,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,360,;
/*,10779782,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,,1,0,,1,0,,580,;
/*,10780622,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,0,,0,1,,0,1,,400,;
/*,10780622,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,0,1,,1,0,,NA,;
/*,10781865,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,290,;
/*,10782031,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,,0,1,,1,0,,390,;
/*,10783593,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,,1,0,,1,0,,620,;
/*,10783593,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,,1,0,,1,0,,620,;
/*,10784302,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,,1,0,,0,1,,580,;
/*,10784321,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,,0,1,,1,0,,440,;
/*,10785601,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,580,;
/*,10785637,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,380,;
/*,10785637,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,320,;
/*,10785637,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,NA,;
/*,10786604,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,,1,0,,0,1,,860,;
/*,10787021,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,490,;
/*,10787305,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,370,;
/*,10789344,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,,0,1,,1,0,,420,;
/*,10790261,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,420,;
/*,10790347,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,,0,1,,1,0,,460,;
/*,10791093,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,,1,0,,1,0,,670,;
/*,10791093,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,,1,0,,1,0,,620,;
/*,10791093,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,,1,0,,1,0,,530,;
/*,10791294,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,300,;
/*,10791294,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,320,;
/*,10791294,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,350,;
/*,10792014,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,280,;
/*,10792321,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,,1,0,,1,0,,240,;
/*,10792321,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,,1,0,,1,0,,NA,;
/*,10795285,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,,0,1,,1,0,,300,;
/*,10796862,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,480,;
/*,10797289,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,480,;
/*,10798798,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,,1,0,,1,0,,600,;
/*,10798798,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,1,0,,0,1,,580,;
/*,10799826,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,400,;
/*,10801016,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,380,;
/*,10802058,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,0,1,,1,0,,450,;
/*,10803535,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,0,1,,1,0,,440,;
/*,10807354,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,,0,1,,1,0,,180,;
/*,10807354,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,,0,1,,1,0,,180,;
/*,10807610,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,660,;
/*,10809025,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,,1,0,,1,0,,770,;
/*,10810852,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,NA,;
/*,10810852,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,0,1,,380,;
/*,10810852,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,0,1,,320,;
/*,10812102,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,520,;
/*,10814633,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,,0,1,,1,0,,440,;
/*,10819004,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,,1,0,,0,1,,620,;
/*,10819004,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,,1,0,,0,1,,NA,;
/*,10819004,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,820,;
/*,10819004,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,0,1,,730,;
/*,10819004,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,0,1,,700,;
/*,10819335,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,0,,1,0,,0,1,,400,;
/*,10819335,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,0,1,,660,;
/*,10819335,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,0,1,,640,;
/*,10821087,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,0,,1,0,,0,1,,750,;
/*,10821786,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,550,;
/*,10823271,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,460,;
/*,10823271,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,400,;
/*,10823271,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,390,;
/*,10823271,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,0,1,,330,;
/*,10825334,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,520,;
/*,10826116,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,700,;
/*,10826116,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,580,;
/*,10826116,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,600,;
/*,10826771,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,720,;
/*,10830770,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,660,;
/*,10830770,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,680,;
/*,10830770,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,620,;
/*,10830770,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,0,1,,600,;
/*,10830883,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,,0,1,,1,0,,330,;
/*,10833631,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,,1,0,,0,1,,500,;
/*,10833631,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,800,;
/*,10833631,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,0,1,,800,;
/*,10833631,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,710,;
/*,10833631,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,660,;
/*,10835368,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,640,;
/*,10835368,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,570,;
/*,10835840,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,540,;
/*,10835840,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,480,;
/*,10836524,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,580,;
/*,10836856,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,,0,1,,1,0,,440,;
/*,10838270,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,1,0,,1,0,,220,;
/*,10838816,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,760,;
/*,10838816,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,NA,;
/*,10838816,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,740,;
/*,10838816,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,650,;
/*,10840816,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,0,1,,340,;
/*,10841036,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,390,;
/*,10841036,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,NA,;
/*,10842082,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,NA,;
/*,10842082,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,750,;
/*,10842082,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,640,;
/*,10844624,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,390,;
/*,10845327,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,760,;
/*,10845327,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,680,;
/*,10845366,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,,1,0,,1,0,,730,;
/*,10850813,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,1,0,,1,0,,500,;
/*,10850813,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,,1,0,,0,1,,440,;
/*,10850813,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,,1,0,,0,1,,NA,;
/*,10850813,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,,1,0,,0,1,,NA,;
/*,10851793,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,750,;
/*,10853032,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,380,;
/*,10853275,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,,1,0,,0,1,,620,;
/*,10853275,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,660,;
/*,10854042,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,,1,0,,1,0,,640,;
/*,10854042,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,,1,0,,0,1,,690,;
/*,10854042,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,1,0,,1,0,,NA,;
/*,10855636,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,0,1,,1,0,,440,;
/*,10856575,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,1,,0,1,,0,1,,500,;
/*,10858099,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,0,1,,600,;
/*,10859047,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,,0,1,,1,0,,470,;
/*,10859079,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,600,;
/*,10860307,*/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,0,,0,1,,0,1,,390,;
/*,10861515,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,520,;
/*,10861515,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,380,;
/*,10861515,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,500,;
/*,10863768,*/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,,1,0,,1,0,,420,;
/*,23541800,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,540,;
/*,23541800,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,483.216867,;
/*,23570809,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,,0,1,,1,0,,360,;
/*,23570809,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,1,0,,488.504539,;
/*,23768324,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,1,0,,780,;
/*,23768324,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,482.555908,;
/*,23782805,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,580,;
/*,23782805,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,480.573032,;
/*,23783893,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,1,0,,440,;
/*,23783893,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,1,0,,487.84358,;
/*,23801321,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,640,;
/*,23801321,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,487.182621,;
/*,23836992,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,600,;
/*,23836992,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,481.894949,;
/*,24017306,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,660,;
/*,24017306,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,486.521662,;
/*,24027823,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,640,;
/*,24027823,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,485.860703,;
/*,24027823,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,640,;
/*,24027823,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,485.199744,;
/*,24052574,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,720,;
/*,24052574,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,479.912073,;
/*,24054026,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,560,;
/*,24054026,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,481.23399,;
/*,24081077,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,720,;
/*,24081077,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,479.251114,;
/*,24122636,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,350,;
/*,24123547,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,550,;
/*,24123547,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,650,;
/*,24123547,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,400,;
/*,24124033,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,1,0,,520,;
/*,24124033,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,1,0,,460,;
/*,24124033,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,0,1,,550,;
/*,24124320,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1,,1,0,,330,;
/*,24126352,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1,,1,0,,280,;
/*,24126352,*/,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,1,0,,0,1,,1,0,,430,;
/*,24127636,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1,,1,0,,280,;
/*,24127870,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,1,,1,0,,290,;
/*,24257352,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,530,;
/*,24257352,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,550,;
/*,24257848,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,750,;
/*,24257848,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,680,;
/*,24257848,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,1,0,,770,;
/*,24257848,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,660,;
/*,24257848,*/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,1,0,,800,;
/*,24257848,*/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,,1,0,,0,1,,820,;
/*,24258515,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,1,0,,480,;
/*,24258515,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,1,0,,484.538785,;
/*,24258515,*/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,1,0,,380,;
/*,24258515,*/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,1,0,,477.268237,;
/*,24261316,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,360,;
/*,24262306,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,1,0,,430,;
/*,24264370,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,660,;
